run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,early_to_15_mins_late_percent,flts_16_to_30_mins_late_percent,flts_31_to_60_mins_late_percent,flts_61_to_180_mins_late_percent,flts_181_to_360_mins_late_percent,more_than_360_mins_late_percent,average_delay_mins,planned_flights_unmatched,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
07-Dec-2015 12:38,201509,ABERDEEN,BULGARIA,BURGAS,BH AIR,A,C, 4 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 1.25 , 0 , 3 , 66.6666666666667 , 5.33333333333333 
07-Dec-2015 12:38,201509,ABERDEEN,BULGARIA,BURGAS,BH AIR,D,C, 3 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 3.33333333333333 , 0 , 3 , 66.6666666666667 , 8 
07-Dec-2015 12:38,201509,ABERDEEN,DENMARK,COPENHAGEN,SAS,A,S, 46 , 0 , 95.6521739130435 , 2.17391304347826 , 2.17391304347826 , 0 , 0 , 0 , 1.69565217391304 , 0 , 55 , 87.2727272727273 , 4.50909090909091 
07-Dec-2015 12:38,201509,ABERDEEN,DENMARK,COPENHAGEN,SAS,D,S, 46 , 0 , 97.8260869565217 , 2.17391304347826 , 0 , 0 , 0 , 0 , 1.71739130434783 , 0 , 55 , 81.8181818181818 , 7.56363636363636 
07-Dec-2015 12:38,201509,ABERDEEN,DENMARK,ESBJERG,BMI REGIONAL,A,S, 26 , 0 , 80.7692307692308 , 11.5384615384615 , 3.84615384615385 , 3.84615384615385 , 0 , 0 , 9.65384615384615 , 0 , 25 , 80 , 10.44 
07-Dec-2015 12:38,201509,ABERDEEN,DENMARK,ESBJERG,BMI REGIONAL,D,S, 26 , 0 , 80.7692307692308 , 7.69230769230769 , 7.69230769230769 , 3.84615384615385 , 0 , 0 , 9.42307692307692 , 0 , 25 , 80 , 8.48 
07-Dec-2015 12:38,201509,ABERDEEN,DENMARK,ESBJERG,DENIM AIR,A,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 118 
07-Dec-2015 12:38,201509,ABERDEEN,DENMARK,ESBJERG,DENIM AIR,D,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 165 
07-Dec-2015 12:38,201509,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),HOP - R C A E ,A,S, 85 , 0 , 80 , 15.2941176470588 , 4.70588235294118 , 0 , 0 , 0 , 7.75294117647059 , 0 , 84 , 82.1428571428571 , 7.05952380952381 
07-Dec-2015 12:38,201509,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),HOP - R C A E ,D,S, 84 , 0 , 85.7142857142857 , 8.33333333333333 , 4.76190476190476 , 1.19047619047619 , 0 , 0 , 7.11904761904762 , 0 , 84 , 88.0952380952381 , 6.39285714285714 
