run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,early_to_15_mins_late_percent,flts_16_to_30_mins_late_percent,flts_31_to_60_mins_late_percent,flts_61_to_180_mins_late_percent,flts_181_to_360_mins_late_percent,more_than_360_mins_late_percent,average_delay_mins,planned_flights_unmatched,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
22-Sep-2015 16:54,201507,ABERDEEN,BULGARIA,BURGAS,BH AIR,A,C, 4 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 4.75 , 0 , 4 , 100 , 0 
22-Sep-2015 16:54,201507,ABERDEEN,BULGARIA,BURGAS,BH AIR,D,C, 4 , 0 , 75 , 25 , 0 , 0 , 0 , 0 , 9 , 0 , 4 , 100 , 1 
22-Sep-2015 16:54,201507,ABERDEEN,CROATIA,RIJEKA,TITAN AIRWAYS LTD,A,C, 1 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
22-Sep-2015 16:54,201507,ABERDEEN,CROATIA,RIJEKA,TITAN AIRWAYS LTD,D,C, 1 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 
22-Sep-2015 16:54,201507,ABERDEEN,DENMARK,COPENHAGEN,SAS,A,S, 49 , 0 , 95.9183673469388 , 2.04081632653061 , 0 , 2.04081632653061 , 0 , 0 , 3.48979591836735 , 1 , 53 , 96.2264150943396 , 3.16981132075472 
22-Sep-2015 16:54,201507,ABERDEEN,DENMARK,COPENHAGEN,SAS,D,S, 50 , 0 , 96 , 2 , 0 , 2 , 0 , 0 , 4 , 0 , 52 , 86.5384615384615 , 7.21153846153846 
22-Sep-2015 16:54,201507,ABERDEEN,DENMARK,ESBJERG,BMI REGIONAL,A,S, 27 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 7.40740740740741E-02 , 0 , 27 , 85.1851851851852 , 6.44444444444444 
22-Sep-2015 16:54,201507,ABERDEEN,DENMARK,ESBJERG,BMI REGIONAL,D,S, 27 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 1.14814814814815 , 0 , 27 , 81.4814814814815 , 7.37037037037037 
22-Sep-2015 16:54,201507,ABERDEEN,DENMARK,ESBJERG,DENIM AIR,A,C, 2 , 0 , 50 , 0 , 0 , 50 , 0 , 0 , 57 , 0 , 0 , 0 , 0 
22-Sep-2015 16:54,201507,ABERDEEN,DENMARK,ESBJERG,DENIM AIR,D,C, 2 , 0 , 0 , 50 , 0 , 50 , 0 , 0 , 42 , 0 , 0 , 0 , 0 
22-Sep-2015 16:54,201507,ABERDEEN,DENMARK,ESBJERG,EASTERN AIRWAYS,A,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 17 
22-Sep-2015 16:54,201507,ABERDEEN,DENMARK,ESBJERG,EASTERN AIRWAYS,D,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 100 , 10 
22-Sep-2015 16:54,201507,ABERDEEN,ESTONIA,TALLIN,MALETH AERO,D,C, 1 , 0 , 0 , 100 , 0 , 0 , 0 , 0 , 17 , 0 , 0 , 0 , 0 
22-Sep-2015 16:54,201507,ABERDEEN,FRANCE,BIARRITZ,BMI REGIONAL,D,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 100 , 12 
22-Sep-2015 16:54,201507,ABERDEEN,FRANCE,BIARRITZ,CITY JET,D,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 28 
22-Sep-2015 16:54,201507,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),HOP - R C A E ,A,S, 89 , 0 , 83.1460674157303 , 10.1123595505618 , 4.49438202247191 , 2.24719101123596 , 0 , 0 , 8.95505617977528 , 0 , 89 , 79.7752808988764 , 9.41573033707865 
22-Sep-2015 16:54,201507,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),HOP - R C A E ,D,S, 89 , 0 , 91.0112359550562 , 5.61797752808989 , 1.12359550561798 , 2.24719101123596 , 0 , 0 , 6.15730337078652 , 0 , 89 , 77.5280898876404 , 10.7078651685393 
22-Sep-2015 16:54,201507,ABERDEEN,FRANCE,PARIS (LE BOURGET),EASTERN AIRWAYS,A,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 100 , 0 
22-Sep-2015 16:54,201507,ABERDEEN,GERMANY,DRESDEN,DENIM AIR,A,C, 1 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
22-Sep-2015 16:54,201507,ABERDEEN,GERMANY,FRANKFURT MAIN,LUFTHANSA,A,S, 93 , 0 , 80.6451612903226 , 12.9032258064516 , 5.37634408602151 , 1.0752688172043 , 0 , 0 , 9.75268817204301 , 0 , 92 , 81.5217391304348 , 8.93478260869565 
22-Sep-2015 16:54,201507,ABERDEEN,GERMANY,FRANKFURT MAIN,LUFTHANSA,D,S, 93 , 0 , 81.7204301075269 , 10.752688172043 , 4.3010752688172 , 3.2258064516129 , 0 , 0 , 10.2043010752688 , 0 , 93 , 67.741935483871 , 14.1182795698925 
22-Sep-2015 16:54,201507,ABERDEEN,GERMANY,STUTTGART,TAG AVIATION (UK) LTD,A,C, 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
22-Sep-2015 16:54,201507,ABERDEEN,GREECE,CORFU,EUROPE AIRPOST,A,C, 5 , 0 , 60 , 20 , 0 , 20 , 0 , 0 , 21 , 0 , 0 , 0 , 0 
22-Sep-2015 16:54,201507,ABERDEEN,GREECE,CORFU,EUROPE AIRPOST,D,C, 5 , 0 , 80 , 0 , 0 , 20 , 0 , 0 , 22.2 , 0 , 0 , 0 , 0 
22-Sep-2015 16:54,201507,ABERDEEN,GREECE,CORFU,GERMANIA FLUGGESELLSCHAFT,A,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 75 , 23 
22-Sep-2015 16:54,201507,ABERDEEN,GREECE,CORFU,GERMANIA FLUGGESELLSCHAFT,D,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 75 , 25.5 
22-Sep-2015 16:54,201507,ABERDEEN,ICELAND,KEFLAVIK,BMI REGIONAL,A,C, 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
22-Sep-2015 16:54,201507,ABERDEEN,IRISH REPUBLIC,DONEGAL,EASTERN AIRWAYS,A,C, 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 83.3333333333333 , 29 
22-Sep-2015 16:54,201507,ABERDEEN,IRISH REPUBLIC,DONEGAL,EASTERN AIRWAYS,D,C, 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 13 , 76.9230769230769 , 13.3076923076923 
22-Sep-2015 16:54,201507,ABERDEEN,IRISH REPUBLIC,DUBLIN,EASTERN AIRWAYS,D,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 100 , 15 
22-Sep-2015 16:54,201507,ABERDEEN,IRISH REPUBLIC,DUBLIN,STOBART AIR ,A,S, 31 , 0 , 83.8709677419355 , 12.9032258064516 , 0 , 3.2258064516129 , 0 , 0 , 9.51612903225806 , 0 , 40 , 95 , 5.225 
22-Sep-2015 16:54,201507,ABERDEEN,IRISH REPUBLIC,DUBLIN,STOBART AIR ,D,S, 31 , 0 , 58.0645161290323 , 25.8064516129032 , 12.9032258064516 , 3.2258064516129 , 0 , 0 , 18.8709677419355 , 0 , 40 , 77.5 , 8.45 
22-Sep-2015 16:54,201507,ABERDEEN,ITALY,NAPLES,SMALL PLANET AIRLINES,A,C, 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
22-Sep-2015 16:54,201507,ABERDEEN,ITALY,VERONA VILLAFRANCA,SMALL PLANET AIRLINES,A,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 100 , 1 
22-Sep-2015 16:54,201507,ABERDEEN,ITALY,VERONA VILLAFRANCA,SMALL PLANET AIRLINES,D,C, 1 , 0 , 0 , 0 , 0 , 100 , 0 , 0 , 61 , 0 , 0 , 0 , 0 
22-Sep-2015 16:54,201507,ABERDEEN,ITALY,VERONA VILLAFRANCA,SMALL PLANET AIRLINES POLSKA,A,C, 1 , 0 , 0 , 0 , 0 , 100 , 0 , 0 , 129 , 0 , 0 , 0 , 0 
22-Sep-2015 16:54,201507,ABERDEEN,LATVIA,RIGA,AIR BALTIC,A,S, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 18 , 94.4444444444444 , 3.5 
22-Sep-2015 16:54,201507,ABERDEEN,LATVIA,RIGA,AIR BALTIC,D,S, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 18 , 50 , 17.6666666666667 
22-Sep-2015 16:54,201507,ABERDEEN,LATVIA,RIGA,CARPATAIR,D,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 40 
22-Sep-2015 16:54,201507,ABERDEEN,MACEDONIA,SKOPJE,DENIM AIR,A,C, 1 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
22-Sep-2015 16:54,201507,ABERDEEN,MACEDONIA,SKOPJE,DENIM AIR,D,C, 2 , 0 , 50 , 50 , 0 , 0 , 0 , 0 , 11.5 , 0 , 0 , 0 , 0 
22-Sep-2015 16:54,201507,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,A,S, 88 , 0 , 87.5 , 9.09090909090909 , 2.27272727272727 , 0 , 1.13636363636364 , 0 , 8.35227272727273 , 0 , 69 , 86.9565217391304 , 7.63768115942029 
22-Sep-2015 16:54,201507,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,D,S, 88 , 0 , 82.9545454545455 , 12.5 , 3.40909090909091 , 1.13636363636364 , 0 , 0 , 8.96590909090909 , 0 , 70 , 82.8571428571429 , 9.38571428571429 
22-Sep-2015 16:54,201507,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM CITYHOPPER,A,S, 71 , 0 , 95.7746478873239 , 2.8169014084507 , 1.40845070422535 , 0 , 0 , 0 , 3.32394366197183 , 0 , 87 , 90.8045977011494 , 7.29885057471264 
22-Sep-2015 16:54,201507,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM CITYHOPPER,D,S, 71 , 0 , 92.9577464788732 , 4.22535211267606 , 1.40845070422535 , 1.40845070422535 , 0 , 0 , 5.92957746478873 , 0 , 87 , 85.0574712643678 , 11.9310344827586 
22-Sep-2015 16:54,201507,ABERDEEN,NETHERLANDS,GRONINGEN,DANISH AIR TRANSPORT,A,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 19 
